,Place ID,Place Name
280,ChIJ55Dnl1lTF4gRFfcU-xQqHV8,Lake Michigan College - South Haven Campus
281,ChIJ-6Y6tjbPEIgRvamfG_C1KxM,Lake Michigan College
282,ChIJ-6Y6tjbPEIgRvamfG_C1KxM,Lake Michigan College
283,ChIJL4qWeHY5Nk0RU8FM-RSVZSU,Lake Superior State University
284,ChIJy17qcMJFNU0Rnut5jzf14_o,Lake Superior State University
285,ChIJxaskCctLUk0R1keb4m3Y7PM,Bay College West Campus
286,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
287,ChIJAxDzL9HgNU0Rpl_AaSjftXY,Les Cheneaux Culinary School
288,ChIJ34eDFbzCIogRfY_6w_Cq8Zo,Lansing Community College East Campus
289,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
290,ChIJlUWi_A7QIogRjywxHX-um6E,Lansing Community College Aviation Technology
291,ChIJ3VOLLubqIogRndra5pGVNj4,AIS Equipment - Lansing
292,ChIJH09QRtDeJIgRKw0IeLlZSTg,University Center
293,ChIJbSmGRsXJJIgRZt-M6sI2kyg,Specs @ LTU
294,ChIJq5ElgqMrEYgRmPzzk8CU8bs,Southwestern Michigan College Niles
295,ChIJPwqFwEneJIgRWtAFyG7fmTE,Wayne State University Macomb Education Center
296,ChIJnyGS5rU1O4gRcYAytI_oGzE,Wayne State University Physician Group Orthopedics Dearborn
297,ChIJQ9hCnbzSJIgRTl7fSYmWiLY,Wayne State University
298,ChIJwX-nu7TNJIgRme6OxqbUsAs,Focus: HOPE
299,ChIJm1cGJF6wJIgRxQetONrkHoE,Wayne State University Oakland Center
300,ChIJAcsbrevZJIgRdC7og_8YUj4,Wayne State University - Advanced Technology Education Center
301,ChIJsa5MiD_PJIgRlPmwVVQ8mEA,Oakland Community College - Royal Oak Campus
302,ChIJdbRFkI5OO4gRHanpzyLeVTA,Wayne Regional Educational Service Agency
303,ChIJQ9hCnbzSJIgRTl7fSYmWiLY,Wayne State University
304,ChIJAcsbrevZJIgRdC7og_8YUj4,Wayne State University - Advanced Technology Education Center
305,ChIJASt9RcgwO4gRbcO90S54iGY,Wyandotte City School District
306,ChIJsa5MiD_PJIgRlPmwVVQ8mEA,Oakland Community College - Royal Oak Campus
307,ChIJ5zQdbqTTJIgRCZJSfvrdkyc,Detroit Public Schools
308,ChIJkfOB-Es0O4gRc8pxxW7_iFw,Ford Motor Company
309,ChIJ9XG-kUHSJIgRgZ4OUh7opSg,Hamtramck Public Schools
310,ChIJ8QwwClLeJIgRjTP0PGeB_2k,Macomb Intermediate School District
311,ChIJ46NDetjSJIgR55ZGikXmbvk,Detroit Edison Public School Academy
312,ChIJZ3zLI_XDJIgRRtm1X4WZWDg,Troy School District
313,ChIJfb5nYnEjPYgRwzc6WaQteTA,Jackson College
314,ChIJk7xKJj6dF4gRqi_WWn25Y5w,Western Michigan University Homer Stryker M.D. School of Medicine
315,ChIJ-cWiYZCdF4gRyxd1bqVr03I,West Michigan College of Barbering and Beauty
316,ChIJcQopGaXyGYgRPLS_55WNMrM,Western Theological Seminary
317,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
318,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
319,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
320,ChIJfalPrW81O4gR3kemLQ_Izpw,Henry Ford College
321,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
322,ChIJfalPrW81O4gR3kemLQ_Izpw,Henry Ford College
323,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
324,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
325,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
326,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
327,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
328,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
329,ChIJfYQrXpuaGIgROBR0T4VmskE,Montcalm Community College
330,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
331,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
332,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
333,ChIJ-SJZ9X_NJIgRd_UhqzhkN0Q,Cleary University
334,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
335,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
336,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
337,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
338,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
339,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
340,ChIJ28ENBPlGI4gRet-wPC9bSCM,Cleary University
